phrog_id	color	annot	category
phrog_1	#fea328	integrase	integration and excision
phrog_2	#3e83f6	terminase large subunit	head and packaging
phrog_3	#a861e3	transcriptional repressor	transcription regulation
phrog_4	#a861e3	transcriptional repressor	transcription regulation
phrog_5	#35d7ff	tail completion or Neck1 protein	connector
phrog_6	#07e9a2	baseplate wedge subunit	tail
phrog_7	#f35f49	endolysin	lysis
phrog_8	#a861e3	transcriptional regulator	transcription regulation
phrog_9	#3e83f6	terminase large subunit	head and packaging
phrog_10	#3e83f6	major head protein	head and packaging
phrog_11	#07e9a2	baseplate spike	tail
phrog_12	#3e83f6	portal protein	head and packaging
phrog_13	#f35f49	Rz-like spanin	lysis
phrog_14	#07e9a2	minor tail protein	tail
phrog_15	#3e83f6	terminase large subunit	head and packaging
phrog_16	#ffdf59	DNA helicase	DNA, RNA and nucleotide metabolism
phrog_17	#ffdf59	DNA polymerase	DNA, RNA and nucleotide metabolism
phrog_18	#07e9a2	minor tail protein	tail
phrog_19	#ffdf59	DnaB-like replicative helicase	DNA, RNA and nucleotide metabolism
phrog_20	#f35f49	holin	lysis
phrog_21	#3e83f6	portal protein	head and packaging
phrog_22	#ffdf59	thioredoxin domain	DNA, RNA and nucleotide metabolism
phrog_23	#07e9a2	tail sheath	tail
phrog_24	#07e9a2	tail length tape measure protein	tail
phrog_25	#35d7ff	head closure Hc1	connector
phrog_26	#35d7ff	tail completion or Neck1 protein	connector
phrog_27	#35d7ff	tail completion or Neck1 protein	connector
phrog_28	#07e9a2	tail length tape measure protein	tail
phrog_29	#3e83f6	major head protein	head and packaging
phrog_30	#07e9a2	minor tail protein	tail
phrog_31	#07e9a2	central tail fiber J	tail
phrog_32	#07e9a2	tail assembly protein	tail
phrog_33	#07e9a2	distal tail protein Dit	tail
phrog_34	#ffdf59	RusA-like Holliday junction resolvase	DNA, RNA and nucleotide metabolism
phrog_35	#a861e3	transcriptional repressor	transcription regulation
phrog_36	#a861e3	transcriptional regulator	transcription regulation
phrog_37	#35d7ff	tail terminator	connector
phrog_38	#3e83f6	terminase large subunit	head and packaging
phrog_39	#07e9a2	tail assembly protein	tail
phrog_40	#35d7ff	head-tail adaptor Ad1	connector
phrog_41	#07e9a2	major tail protein	tail
phrog_42	#07e9a2	minor tail protein	tail
phrog_43	#07e9a2	baseplate wedge subunit	tail
phrog_44	#ffdf59	single strand DNA binding protein	DNA, RNA and nucleotide metabolism
phrog_45	#07e9a2	tail tube	tail
phrog_46	#07e9a2	baseplate hub	tail
phrog_47	#ffdf59	DNA primase	DNA, RNA and nucleotide metabolism
phrog_48	#07e9a2	tail protein	tail
phrog_49	#3e83f6	head decoration	head and packaging
phrog_50	#ffdf59	DnaC-like helicase loader	DNA, RNA and nucleotide metabolism
phrog_51	#3e83f6	terminase small subunit	head and packaging
phrog_52	#07e9a2	tail protein	tail
phrog_53	#3e83f6	head maturation protease	head and packaging
phrog_54	#838383	DksA-like zinc-finger protein	other
phrog_55	#35d7ff	head closure	connector
phrog_56	#838383	DNA methyltransferase	other
phrog_57	#3e83f6	terminase small subunit	head and packaging
phrog_58	#07e9a2	tail length tape measure protein	tail
phrog_59	#ffdf59	HNH endonuclease	DNA, RNA and nucleotide metabolism
phrog_60	#c9c9c9	NA	unknown function
phrog_61	#ff59f5	2OG-Fe(II) oxygenase	moron, auxiliary metabolic gene and host takeover
phrog_62	#ffdf59	DNA helicase	DNA, RNA and nucleotide metabolism
phrog_63	#a861e3	anti-repressor Ant	transcription regulation
phrog_64	#3e83f6	portal protein	head and packaging
phrog_65	#35d7ff	tail terminator	connector
phrog_66	#fea328	excisionase and transcriptional regulator	integration and excision
phrog_67	#838383	DNA methyltransferase	other
phrog_68	#3e83f6	portal protein	head and packaging
phrog_69	#ffdf59	exonuclease	DNA, RNA and nucleotide metabolism
phrog_70	#3e83f6	major head protein	head and packaging
phrog_71	#35d7ff	head-tail adaptor Ad1	connector
phrog_72	#ffdf59	NinB/ Orf homologous recombination mediator	DNA, RNA and nucleotide metabolism
phrog_73	#3e83f6	head scaffolding protein	head and packaging
phrog_74	#3e83f6	terminase small subunit	head and packaging
