Word2Vec{'max': 40.0, 'sum': 50.0, 'mean': 10.0, 'power 2': 50.0, 'power 4': 40.0, 'power 8': 40.0}
Word2Vec{'max': 50.0, 'sum': 50.0, 'mean': 20.0, 'power 2': 50.0, 'power 4': 50.0, 'power 8': 50.0}
Word2Vec{'max': 70.0, 'sum': 70.0, 'mean': 30.0, 'power 2': 70.0, 'power 4': 70.0, 'power 8': 70.0}
Word2Vec{'max': 70.0, 'sum': 70.0, 'mean': 70.0, 'power 2': 70.0, 'power 4': 70.0, 'power 8': 70.0}
Word2Vec{'max': 80.0, 'sum': 80.0, 'mean': 80.0, 'power 2': 80.0, 'power 4': 80.0, 'power 8': 80.0}
Word2Vec{'max': 80.0, 'sum': 80.0, 'mean': 80.0, 'power 2': 80.0, 'power 4': 80.0, 'power 8': 80.0}
Word2Vec{'max': 70.0, 'sum': 70.0, 'mean': 70.0, 'power 2': 70.0, 'power 4': 70.0, 'power 8': 70.0}
Word2Vec{'max': 54.69, 'sum': 54.69, 'mean': 54.69, 'power 2': 54.69, 'power 4': 54.69, 'power 8': 54.69}
Word2Vec{'max': 55.6, 'sum': 55.6, 'mean': 55.6, 'power 2': 55.6, 'power 4': 55.6, 'power 8': 55.6}
Word2Vec{'max': 22.27, 'sum': 22.27, 'mean': 22.27, 'power 2': 22.27, 'power 4': 22.27, 'power 8': 22.27}
Word2Vec{'max': 36.13, 'sum': 36.13, 'mean': 36.13, 'power 2': 36.13, 'power 4': 36.13, 'power 8': 36.13}
FastText{'max': 19.75, 'sum': 19.75, 'mean': 19.75, 'power 2': 19.75, 'power 4': 19.75, 'power 8': 19.75}
Word2Vec{'max': 35.71, 'sum': 35.71, 'mean': 35.71, 'power 2': 35.71, 'power 4': 35.71, 'power 8': 35.71}
Word2Vec{'max': 30.34, 'sum': 30.34, 'mean': 30.34, 'power 2': 30.34, 'power 4': 30.34, 'power 8': 30.34}
Word2Vec{'max': 55.22, 'sum': 55.22, 'mean': 55.22, 'power 2': 55.22, 'power 4': 55.22, 'power 8': 55.22}
Word2Vec{'max': 36.55, 'sum': 36.55, 'mean': 36.55, 'power 2': 36.55, 'power 4': 36.55, 'power 8': 36.55}
Word2Vec{'max': 64.25, 'sum': 64.25, 'mean': 64.25, 'power 2': 64.25, 'power 4': 64.25, 'power 8': 64.25}
FastText{'max': 64.43, 'sum': 64.43, 'mean': 64.43, 'power 2': 64.43, 'power 4': 64.43, 'power 8': 64.43}
Word2Vec{'max': 55.06, 'sum': 55.06, 'mean': 55.06, 'power 2': 55.06, 'power 4': 55.06, 'power 8': 55.06}
FastText/virall_encode_better_CODED_31-12_ft_ns-075_lr0005_lrmin00001_d25_w2_e150_hs0_neg75_maxn3_minn6.model{'max': 66.49, 'sum': 64.12, 'mean': 43.53, 'power 2': 64.65, 'power 4': 67.24, 'power 8': 69.12}
Word2Vec/virall_noncoded_17-03_ns-01_lr0005_lrmin00001_d25_w2_e150_hs0_neg75_mincount5.model{'max': 58.99, 'sum': 61.25, 'mean': 30.92, 'power 2': 62.1, 'power 4': 65.41, 'power 8': 59.39}
Word2Vec/virall_noncoded_17-03_ns-01_lr0005_lrmin00001_d25_w2_e500_hs0_neg75_mincount5.model{'max': 59.57, 'sum': 60.18, 'mean': 30.92, 'power 2': 61.46, 'power 4': 64.64, 'power 8': 60.06}
Word2Vec/virall_noncoded_17-03_ns-01_lr0005_lrmin00001_d150_w2_e500_hs0_neg75_mincount5{'max': 59.52, 'sum': 62.78, 'mean': 32.63, 'power 2': 64.08, 'power 4': 63.91, 'power 8': 59.65}
FastText/virall_encode_coded_17-03_ft_ns-075_lr0005_lrmin00001_d150_w2_e500_hs0_neg75_maxn3_minn6{'max': 64.04, 'sum': 65.89, 'mean': 42.83, 'power 2': 66.97, 'power 4': 69.6, 'power 8': 64.53}
Word2Vec/virall_coded_17-03_ns-01_lr0005_lrmin00001_d150_w2_e500_hs0_neg75_mincount5{'max': 64.36, 'sum': 66.07, 'mean': 41.69, 'power 2': 66.96, 'power 4': 69.85, 'power 8': 64.87}
